Open Date,Net P&L,Net ROI
2025-06-25,-540.0,-0.00099997
2025-06-25,-586.5,-0.00056679
2025-06-25,-747.0,-0.00009994
2025-06-25,574.0,0.00031129
2025-06-25,-550.0,-0.00012222
2025-06-26,-574.0,-0.00045484
2025-06-26,-575.0,-0.00050932
2025-06-26,-585.0,-0.00049818
2025-06-26,579.5,0.00067589
2025-06-27,268.0,0.00147151
2025-06-30,-573.5,-0.00040488
2025-06-30,-551.0,-0.00020783
2025-07-01,740.0,0.00043852
2025-07-01,-531.0,-0.00064603
2025-07-01,6562.5,0.00115221
2025-07-01,2946.5,0.00077857
2025-07-01,-567.0,-0.00046076
2025-07-02,558.0,0.00102511
2025-07-03,-639.0,-0.00009796
2025-07-03,-1125.0,-0.00009798
2025-07-03,-577.5,-0.00038128
2025-07-03,540.0,0.00130587
2025-07-04,1140.0,0.00032724
2025-07-04,-572.0,-0.00023986
2025-07-07,-583.0,-0.00057761
2025-07-07,-568.0,-0.0001743
2025-07-07,579.5,0.00066502
2025-07-07,1665.0,0.00040301
2025-07-08,-570.0,-0.00032727
2025-07-08,782.0,0.00050175
2025-07-08,-561.0,-0.0001853
2025-07-08,-551.0,-0.00020717
2025-07-09,1710.0,0.0009795
2025-07-09,-639.0,-0.00009789
2025-07-09,-551.0,-0.00020668
2025-07-09,1155.0,0.00038081
2025-07-09,-574.0,-0.00030463
2025-07-09,-576.0,-0.00039174
2025-07-09,-539.5,-0.00014142
2025-07-09,513.0,0.00029374
2025-07-11,-550.0,-0.00011987
2025-07-11,260.0,0.00021782
2025-07-11,-564.0,-0.00026129
2025-07-11,-660.0,-0.00358727
2025-07-14,569.5,0.00073129
2025-07-14,551.0,0.00041436
2025-07-14,781.0,0.00023967
2025-07-14,1683.0,0.00055592
2025-07-14,-540.0,-0.00013078
2025-07-14,-561.0,-0.00018514
2025-07-14,-580.5,-0.00046797
2025-07-15,-580.5,-0.00046358
2025-07-17,-528.0,-0.00103911
2025-07-17,-577.5,-0.00037828
2025-07-17,-576.0,-0.00051857
2025-07-18,627.0,0.00035448
2025-07-18,-570.0,-0.00016098
2025-07-23,579.5,0.00065707
2025-07-23,4863.5,0.00147448
2025-07-23,-440.0,-0.00059115
2025-07-24,546.0,0.00055663
2025-07-24,922.5,0.00043879
2025-07-24,-568.0,-0.00017096
2025-07-24,1350.0,0.00032103
2025-07-24,553.0,0.00084659
2025-07-24,638.0,0.00023544
2025-07-24,-1125.0,-0.00009629
2025-07-24,-551.0,-0.00020319
2025-07-24,-562.5,-0.00009622
2025-07-24,-577.5,-0.00022452
2025-07-24,1000.0,0.00008552
2025-07-24,581.0,0.00007484
2025-07-24,-562.5,-0.0000962
2025-07-24,-568.0,-0.00017108
2025-07-24,-747.0,-0.00009625
2025-07-24,-539.5,-0.00013905
2025-07-24,-562.5,-0.00009625
2025-07-24,-564.0,-0.00025661
2025-07-24,684.0,0.00019243
2025-07-24,-900.0,-0.00009616
2025-07-24,-550.0,-0.00011757
2025-07-25,756.0,0.00077105
2025-07-28,-639.0,-0.00009587
2025-07-28,1369.5,0.00035148
2025-07-28,-1125.0,-0.00009579
2025-07-28,-561.0,-0.00018096
2025-07-28,-639.0,-0.0000958
2025-07-28,-747.0,-0.00009577
2025-07-29,513.0,0.00028584
2025-07-29,1397.5,0.00068885
2025-07-29,-580.0,-0.00042392
2025-07-30,3818.0,0.00048964
2025-07-30,-572.0,-0.00055306
2025-07-30,558.0,0.00098927
2025-07-30,620.0,0.00066006
2025-07-30,-558.0,-0.0001916
2025-07-30,-539.0,-0.00081958
2025-07-30,2130.0,0.00031956
2025-07-30,-578.0,-0.00036182
2025-07-30,-574.0,-0.000298
2025-07-30,603.5,0.00018097
2025-07-30,612.5,0.00052157
2025-07-30,-573.5,-0.00032992
2025-07-30,-572.0,-0.00023408
2025-07-31,567.0,0.00085559
2025-07-31,-563.5,-0.00051711
2025-08-05,-452.0,-0.00241523
2025-08-05,-900.0,-0.0000965
2025-08-05,-750.0,-0.00107196
2025-08-05,568.0,0.0007625
2025-08-06,-522.5,-0.00102446
2025-08-06,-443.0,-0.00475766
2025-08-06,-577.5,-0.00022651
2025-08-06,583.0,0.00114216
2025-08-07,562.5,0.00079416
2025-08-07,1274.0,0.00103898
2025-08-07,2988.0,0.0007627
2025-08-07,-668.5,-0.00202228
2025-08-08,570.0,0.00063617
2025-08-11,828.0,0.00075917
2025-08-12,-506.0,-0.00266481
2025-08-12,307.5,0.00215323
2025-08-13,-576.0,-0.00037401
2025-08-13,1118.0,0.00054081
2025-08-13,-580.0,-0.00041589
2025-08-13,-580.0,-0.00030147
2025-08-13,-567.0,-0.00056202
2025-08-14,567.0,0.0019767
2025-08-14,579.5,0.00063872
2025-08-18,643.5,0.00040978
2025-08-18,-570.0,-0.00015765
2025-08-18,-580.5,-0.00028381
2025-08-18,943.0,0.00086235
2025-08-18,-572.0,-0.00054717
2025-08-18,-562.5,-0.0002628
2025-08-18,-565.0,-0.00118719
2025-08-18,-440.0,-0.00231299
2025-08-18,560.0,0.00073687
2025-08-18,-578.0,-0.00035769
2025-08-20,528.5,0.00161785
2025-08-21,-969.0,-0.00109602
2025-08-21,-562.5,-0.00009674
2025-08-21,586.5,0.00074113
2025-08-21,-568.0,-0.00017195
2025-08-21,540.0,0.00115982
2025-08-21,-562.5,-0.00026855
2025-08-21,-1125.0,-0.00009681
2025-08-21,-576.0,-0.00051666
2025-08-21,585.0,0.00069919
2025-08-21,-900.0,-0.00009674
2025-08-21,-583.0,-0.00056921
2025-08-21,1178.0,0.0004085
2025-08-21,-562.5,-0.00009682
2025-08-21,-550.0,-0.00011847
2025-08-22,577.5,0.000827
2025-08-25,-570.0,-0.00060639
2025-08-25,-555.0,-0.00010634
2025-08-25,175.5,0.0012406
2025-08-26,1328.0,0.00034083
2025-08-26,-963.0,-0.00113904
2025-08-26,-576.0,-0.0003834
2025-08-26,-577.5,-0.00058489
2025-08-26,77.0,0.00023385
2025-08-27,784.0,0.0005949
2025-08-27,874.0,0.00048837
2025-08-28,552.5,0.00089642
2025-08-28,-972.0,-0.00227584
2025-08-28,-504.0,-0.00133294
2025-08-28,-665.0,-0.00140383
2025-08-28,1161.0,0.00090745
2025-08-28,-570.0,-0.00060074
2025-08-28,731.0,0.00035866
2025-08-28,920.0,0.00097108
2025-08-28,589.0,0.00020066
2025-08-28,852.5,0.00058021
2025-08-28,1558.0,0.0004329
2025-08-28,310.0,0.00032721
2025-09-01,528.0,0.00017043
2025-09-01,-577.5,-0.00022354
2025-09-02,-890.5,-0.00148163
2025-09-02,-587.5,-0.00050825
2025-09-02,616.0,0.00060637
2025-09-02,-568.0,-0.00017342
2025-09-02,-747.0,-0.00009758
2025-09-02,553.5,0.00044462
2025-09-02,66.0,0.00002168
2025-09-03,-561.0,-0.00018154
